video_id,title,published_at,duration,view_count,like_count,comment_count,transcript_length,unique_event_name,series,number,guests,other_participants,youtube_url
C94WDXAe4EE,Narrative as active inference,2020-07-28T10:00:00,,0,0,0,0,Livestream #001.1,Livestream,#001.1,,"Ivan Metelkin,Alexander Vyatkin,Daniel Friedman",https://youtu.be/C94WDXAe4EE
601-lt_8eVE,Is the free-energy principle a formal theory of semantics? From variational density dynamics to neural and phenotypic representations,2020-08-11T10:00:00,,0,0,0,0,Livestream #002.1,Livestream,#002.1,,"Ivan Metelkin,Alexandra Mikhailova,Daniel Friedman",https://youtu.be/601-lt_8eVE
mz7L4GD5g-E,A World Unto Itself: Human Communication as Active Inference,2020-08-25T00:00:00,,0,0,0,0,Livestream #003.1,Livestream,#003.1,Jared Vasil,"Stephen Sillett,V. Bleu Knight,Alexander Vyatkin,Ivan Metelkin,Daniel Friedman,Shannon Proksch",https://youtu.be/mz7L4GD5g-E
ijuxHfPDd3U,A World Unto Itself: Human Communication as Active Inference,2020-09-02T00:00:00,,0,0,0,0,Livestream #003.2,Livestream,#003.2,,"Alexander Vyatkin,Ivan Metelkin,Daniel Friedman,Shannon Proksch,Alexandra Mikhailova",https://youtu.be/ijuxHfPDd3U
Y6qx6C1tmjs,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention,2020-09-15T00:00:00,,0,0,0,0,Livestream #004.1,Livestream,#004.1,,,https://youtu.be/Y6qx6C1tmjs
SAc1F1AWRAs,Cultural Affordances: Scaffolding Local Worlds Through Shared Intentionality and Regimes of Attention,2020-09-22T00:00:00,,0,0,0,0,Livestream #004.2,Livestream,#004.2,,,https://youtu.be/SAc1F1AWRAs
g2n47dPUyNY,Multiscale integration: beyond internalism and externalism,2020-09-27T00:00:00,,0,0,0,0,Livestream #005.0,Livestream,#005.0,,,https://youtu.be/g2n47dPUyNY
B6Uqf_T-nec,Multiscale integration: beyond internalism and externalism,2020-09-29T00:00:00,,0,0,0,0,Livestream #005.1,Livestream,#005.1,,,https://youtu.be/B6Uqf_T-nec
V7yNq_KpHo8,Multiscale integration: beyond internalism and externalism,2020-10-06T00:00:00,,0,0,0,0,Livestream #005.2,Livestream,#005.2,,,https://youtu.be/V7yNq_KpHo8
jHWCQ1dpoK0,A tale of two densities: active inference is enactive inference,2020-10-09T07:00:00,,0,0,0,0,Livestream #006.0,Livestream,#006.0,,Daniel Friedman,https://youtu.be/jHWCQ1dpoK0
9IIsoNMRSb8,A tale of two densities: active inference is enactive inference,2020-10-13T07:00:00,,0,0,0,0,Livestream #006.1,Livestream,#006.1,Maxwell J D Ramstead,"Daniel Friedman,Lee Eyre,Alejandra Ciria,Alexander Vyatkin,John Clippinger,Alex Kiefer,Shannon Proksch,Alexandra Mikhailova,Stephen Sillett,Mathais",https://youtu.be/9IIsoNMRSb8
y4tljwMAWho,A tale of two densities: active inference is enactive inference,2020-10-20T07:00:00,,0,0,0,0,Livestream #006.2,Livestream,#006.2,Maxwell J D Ramstead,"Daniel Friedman,Alejandra Ciria,Alexander Vyatkin,Alex Kiefer,Shannon Proksch,Alexandra Mikhailova,Mel Andrews",https://youtu.be/y4tljwMAWho
7cJ8dmO3qlY,Variational ecology and the physics of sentient systems,2020-10-23T07:00:00,,0,0,0,0,Livestream #007.0,Livestream,#007.0,,Daniel Friedman,https://youtu.be/7cJ8dmO3qlY
72g62XJ-SpA,Variational ecology and the physics of sentient systems,2020-10-27T07:00:00,,0,0,0,0,Livestream #007.1,Livestream,#007.1,Maxwell J D Ramstead,"Daniel Friedman,Alexander Vyatkin,Shannon Proksch,Alexandra Mikhailova,Stephen Sillett,Lee Eyre,Martin Biehl,Muddy Bhatt",https://youtu.be/72g62XJ-SpA
qf4S9bK5VKQ,Variational ecology and the physics of sentient systems,2020-11-03T00:00:00,,0,0,0,0,Livestream #007.2,Livestream,#007.2,Maxwell Ramstead,"Daniel Friedman,Alexandra Mikhailova,Shannon Proksch,Stephen Sillett",https://youtu.be/qf4S9bK5VKQ
zG0qP7un91k,Scaling active inference,2020-11-10T00:00:00,,0,0,0,0,Livestream #008.1,Livestream,#008.1,,,https://youtu.be/zG0qP7un91k
kXw1CPRkJCw,Scaling active inference,2020-11-14T00:00:00,,0,0,0,0,Livestream #008.0,Livestream,#008.0,,Daniel Friedman,https://youtu.be/kXw1CPRkJCw
gv8RuRiZTQA,Scaling active inference,2020-11-17T00:00:00,,0,0,0,0,Livestream #008.2,Livestream,#008.2,Alec Tschantz,"Daniel Friedman,V. Bleu Knight",https://youtu.be/gv8RuRiZTQA
XnOfWFnN2iI,The Projective Consciousness Model and Phenomenal Selfhood,2020-11-18T00:00:00,,0,0,0,0,Livestream #009.0,Livestream,#009.0,,,https://youtu.be/XnOfWFnN2iI
pSWRTkmR8eg,The Projective Consciousness Model and Phenomenal Selfhood,2020-11-24T00:00:00,,0,0,0,0,Livestream #009.1,Livestream,#009.1,,"Daniel Friedman,Alex Kiefer,Shannon Proksch,Mathias Quoy,Ivan Metelkin,Alexandra Mikhailova,Alexander Vyatkin,Stephen Sillett,Lee Eyre",https://youtu.be/pSWRTkmR8eg
XYRKlh2c-ps,The Projective Consciousness Model and Phenomenal Selfhood,2020-12-01T00:00:00,,0,0,0,0,Livestream #009.2,Livestream,#009.2,,,https://youtu.be/XYRKlh2c-ps
5DB77oxbABo,A variational approach to scripts,2020-12-02T00:00:00,,0,0,0,0,Livestream #010.0,Livestream,#010.0,,,https://youtu.be/5DB77oxbABo
3Sg1sAlgQaM,A variational approach to scripts,2020-12-08T00:00:00,,0,0,0,0,Livestream #010.1,Livestream,#010.1,,"Daniel Friedman,Mahault Albarracin,Shannon Proksch,RJ Cordes,V. Bleu Knight,Ivan Metelkin,Alexandra Mikhailova",https://youtu.be/3Sg1sAlgQaM
IGKUS1W25rY,A variational approach to scripts,2020-12-15T00:00:00,,0,0,0,0,Livestream #010.2,Livestream,#010.2,,,https://youtu.be/IGKUS1W25rY
HSu9sDa6-BQ,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events,2020-12-16T00:00:00,,0,0,0,0,Livestream #011.0,Livestream,#011.0,,,https://youtu.be/HSu9sDa6-BQ
xCqavxpiw44,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events,2020-12-22T00:00:00,,0,0,0,0,Livestream #011.1,Livestream,#011.1,,,https://youtu.be/xCqavxpiw44
gx9yAF607ko,Sophisticated Affective Inference: Simulating Anticipatory Affective Dynamics of Imagining Future Events,2020-12-29T00:00:00,,0,0,0,0,Livestream #011.2,Livestream,#011.2,,,https://youtu.be/gx9yAF607ko
qGQljJRCB0g,2020 Review and 2021 Directions,2020-12-30T00:00:00,,0,0,0,0,Livestream #012.0,Livestream,#012.0,,Daniel Friedman,https://youtu.be/qGQljJRCB0g
8dPps0qLrp4,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems,2021-01-03T00:00:00,,0,0,0,0,Livestream #013.0,Livestream,#013.0,,Daniel Friedman,https://youtu.be/8dPps0qLrp4
QG2gOoX4XdA,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems,2021-01-05T00:00:00,,0,0,0,0,Livestream #013.1,Livestream,#013.1,Adam Safron,"Daniel Friedman,V. Bleu Knight,Shannon Proksch,Stephen Sillett,Marco Lin",https://youtu.be/QG2gOoX4XdA
PyyHd4P8dbs,Integrating Cybernetic Big Five Theory with the Free Energy Principle: A new strategy for modeling personalities as complex systems,2021-01-12T00:00:00,,0,0,0,0,Livestream #013.2,Livestream,#013.2,,,https://youtu.be/PyyHd4P8dbs
H5AolqFl2Nw,A step-by-step tutorial on active inference and its application to empirical data,2021-01-15T00:00:00,,0,0,0,0,ModelStream #001.1,ModelStream,#001.1,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",https://youtu.be/H5AolqFl2Nw
Uheml5XRCWk,“The Math is not the Territory: Navigating the Free Energy Principle”,2021-01-16T00:00:00,,0,0,0,0,Livestream #014.0,Livestream,#014.0,,,https://www.youtube.com/watch?v=Uheml5XRCWk
gQQyd8Hd3AA,“The Math is not the Territory: Navigating the Free Energy Principle”,2021-01-19T00:00:00,,0,0,0,0,Livestream #014.1,Livestream,#014.1,,,https://youtu.be/gQQyd8Hd3AA
bDJbEofbvyk,A step-by-step tutorial on active inference and its application to empirical data,2021-01-22T00:00:00,,0,0,0,0,ModelStream #001.2,ModelStream,#001.2,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",https://youtu.be/bDJbEofbvyk
4Mu8lDqzBog,“The Math is not the Territory: Navigating the Free Energy Principle”,2021-01-26T00:00:00,,0,0,0,0,Livestream #014.2,Livestream,#014.2,,,https://youtu.be/4Mu8lDqzBog
6Z-6p1XPn8A,"“Free-Energy Principle, Computationalism and Realism: a Tragedy""",2021-01-27T00:00:00,,0,0,0,0,Livestream #015.0,Livestream,#015.0,,,https://youtu.be/6Z-6p1XPn8A
bDJbEofbvyk,A step-by-step tutorial on active inference and its application to empirical data,2021-01-29T00:00:00,,0,0,0,0,ModelStream #001.3,ModelStream,#001.3,"Christopher Whyte,Ryan Smith","Daniel Friedman,Max Murphy",https://youtu.be/bDJbEofbvyk
5VPKmVoRvRY,"“Free-Energy Principle, Computationalism and Realism: a Tragedy""",2021-02-02T00:00:00,,0,0,0,0,Livestream #015.1,Livestream,#015.1,,,https://youtu.be/5VPKmVoRvRY
QRGaGmT-VFM,A step-by-step tutorial on active inference and its application to empirical data,2021-02-05T00:00:00,,0,0,0,0,ModelStream #001.4,ModelStream,#001.4,"Christopher Whyte,Ryan Smith",Daniel Friedman,https://youtu.be/QRGaGmT-VFM
iJp_Tm6Ej68,"“Free-Energy Principle, Computationalism and Realism: a Tragedy""",2021-02-09T00:00:00,,0,0,0,0,Livestream #015.2,Livestream,#015.2,,,https://youtu.be/iJp_Tm6Ej68
i13aBAWuJxk,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”,2021-02-11T00:00:00,,0,0,0,0,Livestream #016.0,Livestream,#016.0,,,https://youtu.be/i13aBAWuJxk
P6LiF4gTfUo,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”,2021-02-16T00:00:00,,0,0,0,0,Livestream #016.1,Livestream,#016.1,,,https://youtu.be/P6LiF4gTfUo
93lAa-xEmHY,“The neural correlates of consciousness under the free energy principle: From computational correlates to computational explanation”,2021-02-23T00:00:00,,0,0,0,0,Livestream #016.2,Livestream,#016.2,,,https://youtu.be/93lAa-xEmHY
HZoZtiSwMvA,A critical analysis of Markovian monism,2021-02-24T00:00:00,,0,0,0,0,GuestStream #001.1,GuestStream,#001.1,Majid D Beni,Daniel Friedman,https://youtu.be/HZoZtiSwMvA
jaw0QmAvAQU,2021 Quarterly Roundtable #1,2021-03-02T00:00:00,,0,0,0,0,Roundtable 2021.1,Roundtable,2021.1,,"Daniel Friedman,Stephen Sillett,Alexander Vyatkin,Scott David,Alexandra Mikhailova,Ivan Metelkin,V. Bleu Knight",https://youtu.be/jaw0QmAvAQU
o7sJ-5vFJGk,Information flow in context-dependent hierarchical Bayesian inference,2021-03-03T00:00:00,,0,0,0,0,Livestream #017.0,Livestream,#017.0,,,https://youtu.be/o7sJ-5vFJGk
ldg2An-tEIE,Information flow in context-dependent hierarchical Bayesian inference,2021-03-09T00:00:00,,0,0,0,0,Livestream #017.1,Livestream,#017.1,,,https://youtu.be/ldg2An-tEIE
zF-EUnA-di4,Information flow in context-dependent hierarchical Bayesian inference,2021-03-16T00:00:00,,0,0,0,0,Livestream #017.2,Livestream,#017.2,,,https://youtu.be/zF-EUnA-di4
1z1MHiHiYuM,The predictive global neuronal workspace: A formal active inference model of visual consciousness,2021-03-17T00:00:00,,0,0,0,0,Livestream #018.0,Livestream,#018.0,,,https://youtu.be/1z1MHiHiYuM
